time,pos_ballX,pos_ballY,pos_robotX,pos_robotY,seen_robotX,seen_robotY,state
397.149457,2.999409,-0.195269,2.020512,-0.257473,1.370043,-0.611453,-1
397.350264,2.996759,-0.179341,2.068381,-0.258864,1.370043,-0.611453,-1
397.756100,2.996759,-0.179341,2.126703,-0.266448,1.370043,-0.611453,-1
398.158221,2.996759,-0.179341,2.180001,-0.269245,1.370043,-0.611453,-1
398.358912,2.995292,-0.206863,2.227637,-0.272517,1.370043,-0.611453,-1
398.762675,2.995292,-0.206863,2.292377,-0.272272,1.370043,-0.611453,-1
399.170447,2.991673,-0.193003,2.353301,-0.282443,1.380893,-0.634655,-1
399.371327,2.998244,-0.189621,2.404083,-0.283313,1.380893,-0.634655,-1
399.775969,2.998244,-0.189621,2.465348,-0.275479,1.380893,-0.634655,-1
400.184463,2.998244,-0.189621,2.521111,-0.255343,1.380893,-0.634655,-1
400.386666,2.996572,-0.180083,2.563183,-0.238933,1.380893,-0.634655,-1
400.788998,2.996572,-0.180083,2.626448,-0.228536,1.380893,-0.634655,-1
401.195524,2.996572,-0.180083,2.682089,-0.236749,1.380893,-0.634655,-1
401.397371,2.997843,-0.176289,2.717285,-0.235058,1.380893,-0.634655,-1
401.802882,2.997843,-0.176289,2.766715,-0.244141,1.380893,-0.634655,-1
404.027724,3.001955,-0.175988,2.734033,-0.263470,1.380893,-0.634655,-1
404.228117,3.001955,-0.175988,2.650136,-0.306831,1.389664,-0.640754,-1
404.633463,3.028400,-0.242581,2.716417,-0.265244,1.389664,-0.640754,-1
405.847291,3.008926,-0.212905,2.663400,-0.153522,1.389664,-0.640754,-1
406.665273,3.011016,-0.197672,2.693554,-0.172301,1.389664,-0.640754,-1
