time,pos_ballX,pos_ballY,pos_robotX,pos_robotY,approach_state
42.192053,3.000000,1.000000,-0.000000,0.000001,1.0
45.849735,3.000000,1.000000,0.050522,-0.025131,1.0
46.250340,3.000000,1.000000,0.138937,0.002979,1.0
46.450568,3.000000,1.000000,0.174533,0.017752,1.0
46.651487,3.000000,1.000000,0.214802,0.035766,1.0
46.854250,3.000000,1.000000,0.266228,0.058253,1.0
47.054836,3.000000,1.000000,0.298222,0.070998,1.0
47.261284,3.000000,1.000000,0.358406,0.093960,1.0
47.461438,3.000000,1.000000,0.397199,0.108307,1.0
47.666171,3.000000,1.000000,0.437933,0.123311,1.0
47.869288,3.000000,1.000000,0.496156,0.144689,1.0
48.073700,3.000000,1.000000,0.529977,0.157019,1.0
48.279149,3.000000,1.000000,0.585460,0.177261,1.0
48.487437,3.000000,1.000000,0.630532,0.193701,1.0
48.689011,3.000000,1.000000,0.667058,0.207004,1.0
48.890388,3.000000,1.000000,0.726826,0.228770,1.0
49.090586,3.000000,1.000000,0.760463,0.241016,1.0
49.290844,3.000000,1.000000,0.811364,0.259536,1.0
49.497257,3.000000,1.000000,0.860016,0.277234,1.0
49.700454,3.000000,1.000000,0.895059,0.289975,1.0
49.906898,3.000000,1.000000,0.955748,0.312031,1.0
50.108933,3.000000,1.000000,0.991559,0.325041,1.0
50.309520,3.000000,1.000000,1.037082,0.341567,1.0
50.511474,3.000000,1.000000,1.089900,0.360736,1.0
50.712472,3.000000,1.000000,1.123265,0.372837,1.0
50.912706,3.000000,1.000000,1.182347,0.394253,1.0
51.117655,3.000000,1.000000,1.220127,0.407942,1.0
51.318203,3.000000,1.000000,1.263065,0.423484,1.0
51.520084,3.000000,1.000000,1.318030,0.443371,1.0
51.726288,3.000000,1.000000,1.352354,0.455779,1.0
51.928020,3.000000,1.000000,1.410287,0.476703,1.0
52.130063,3.000000,1.000000,1.449813,0.490972,1.0
52.335558,3.000000,1.000000,1.490413,0.505608,1.0
52.536156,3.000000,1.000000,1.548150,0.526408,1.0
52.740538,3.000000,1.000000,1.581986,0.538584,1.0
52.944779,3.000000,1.000000,1.637429,0.558506,1.0
53.147700,3.000000,1.000000,1.681460,0.574317,1.0
53.352175,3.000000,1.000000,1.718718,0.587668,1.0
53.557141,3.000000,1.000000,1.779276,0.609345,1.0
53.760550,3.000000,1.000000,1.814003,0.621759,1.0
53.964522,3.000000,1.000000,1.864012,0.639590,1.0
54.165948,3.000000,1.000000,1.913060,0.657061,1.0
54.369344,3.000000,1.000000,1.948013,0.669475,1.0
54.572706,3.000000,1.000000,2.008502,0.690913,1.0
54.773147,3.000000,1.000000,2.045894,0.703509,1.0
54.974564,3.000000,1.000000,2.093942,0.722678,1.0
55.177530,3.000000,1.000000,2.137355,0.738700,1.0
55.383474,3.000000,1.000000,2.169292,0.752364,1.0
55.586813,3.000000,1.000000,2.239478,0.781030,1.0
55.788219,3.000000,1.000000,2.275939,0.791123,1.0
55.995439,3.000000,1.000000,2.315089,0.803906,1.0
56.202045,3.000000,1.000000,2.371168,0.819769,1.0
56.402810,3.000000,1.000000,2.404886,0.830898,1.0
56.605292,3.000000,1.000000,2.467289,0.849715,1.0
56.805703,3.000000,1.000000,2.506904,0.864115,1.0
57.006664,3.000000,1.000000,2.543946,0.876101,1.0
57.212900,3.000000,1.000000,2.602034,0.896119,1.0
57.417541,3.000000,1.000000,2.634027,0.905810,1.0
57.622360,3.000000,1.000000,2.682406,0.920160,1.0
58.028385,3.000000,1.000000,2.725938,0.926553,2.0
59.661536,4.672453,-0.116357,2.757492,1.000258,2.0
59.863355,4.672453,-0.116357,2.835882,0.971444,2.0
60.067325,4.672453,-0.116357,2.867941,0.929719,2.0
60.269046,4.672453,-0.116357,2.831877,0.970295,2.0
60.474467,4.672453,-0.116357,2.767665,0.983310,2.0
60.880714,4.672453,-0.116357,2.719458,0.953737,2.0
70.835238,4.672453,-0.116357,2.755116,0.943586,1.0
71.450009,4.672453,-0.116357,2.809399,0.952562,1.0
71.858460,4.672453,-0.116357,2.861749,0.945207,1.0
72.059275,4.672453,-0.116357,2.904526,0.931346,1.0
72.265445,4.672453,-0.116357,2.945649,0.906925,1.0
72.466273,4.672453,-0.116357,2.983911,0.879759,1.0
72.869130,4.672453,-0.116357,3.051440,0.810814,1.0
73.074380,4.672453,-0.116357,3.082816,0.776454,1.0
73.481536,4.672453,-0.116357,3.153247,0.702140,1.0
73.886900,4.672453,-0.116357,3.217111,0.637157,1.0
74.089510,4.672453,-0.116357,3.252399,0.601061,1.0
74.493771,4.672453,-0.116357,3.322687,0.528246,1.0
74.897163,4.672453,-0.116357,3.384002,0.464155,1.0
75.102107,4.672453,-0.116357,3.421378,0.424886,1.0
75.508740,4.672453,-0.116357,3.490286,0.351771,1.0
75.912659,4.672453,-0.116357,3.521137,0.318843,0.0
